asset,inner_window,zscore_lookback,metric,raw_r,raw_p,res_r,res_p,ratio
SPY,10,60,slope,-0.09036283186984348,9.622535829682267e-13,0.0033565968573447077,0.7913768264661025,-0.03714576876231006
SPY,10,60,entropy,0.0805346236401339,1.6350132301105746e-10,0.0030092848210599627,0.8115195364106673,0.037366348596931984
SPY,10,60,max_abs,0.07155953506832056,1.7574562583186237e-08,0.03012099826773405,0.01783098535490868,0.420922218666966
SPY,10,252,slope,-0.2135243607889104,4.89788194296809e-63,0.004406189193928353,0.7324793009801527,-0.02063553393930681
SPY,10,252,entropy,0.03375247233647399,0.007463581461272424,0.02212872899733562,0.07947024085126575,0.6556180174517946
SPY,10,252,max_abs,0.14652012232461592,4.042032456361044e-30,0.01946518563764678,0.13185137401354965,0.1328499139150429
SPY,20,60,slope,-0.09249553568321608,2.8980574314439193e-13,0.015297896921518686,0.22832814695714887,-0.16539065165168387
SPY,20,60,entropy,0.054619989283946006,1.4809597484606155e-05,0.004333248539047456,0.7313107154006584,0.0793344816770422
SPY,20,60,max_abs,0.0633672623044505,6.635006097794808e-07,0.01854481188178887,0.14603607221276493,0.2926560373192326
SPY,20,252,slope,-0.16906901956431503,8.72304708157589e-40,0.03659122517220335,0.004549667237063631,-0.21642773623752987
SPY,20,252,entropy,0.04567183750459573,0.0002933798024960288,0.01626909154105026,0.19729319776806434,0.35621714452397896
SPY,20,252,max_abs,0.19265878407993942,6.953062366603652e-51,0.03205701037642341,0.013372015616716552,0.16639267464245014
SPY,80,60,slope,-0.09925641575558937,6.333312610096899e-15,0.028944854355753617,0.02329065672266476,-0.29161696133606013
SPY,80,60,entropy,0.13460579009574386,8.618060850749898e-27,-0.0019442465760792667,0.8775556042177238,-0.014444004040957985
SPY,80,60,max_abs,0.0801343194120079,6.960726718136339e-10,0.017453896771580896,0.17986883516263202,0.217808011594162
SPY,80,252,slope,-0.07699897225642963,2.7227941901371293e-09,0.02959854915683258,0.022410742453027023,-0.3844018730309874
SPY,80,252,entropy,0.1195523744599613,1.9466096256026275e-21,0.039355945526019724,0.0018091028721022137,0.3291941770608683
SPY,80,252,max_abs,0.09382735745658793,1.1890718417931281e-12,-0.021648029347076044,0.10179145951381667,-0.2307219337077905
XLE,10,60,slope,-0.08141621458050326,1.3030413094091153e-10,-0.02593260952144173,0.040952779857023086,0.31851897874470586
XLE,10,60,entropy,0.06285749289079638,6.165309545270811e-07,-0.023450543210792225,0.06309039554787543,-0.3730747462602961
XLE,10,60,max_abs,0.045970919434911585,0.00029821448607309707,0.01347412345969693,0.2893316444454444,0.293101021805196
XLE,10,252,slope,-0.19119405430723518,1.1368848649414412e-50,-0.031983839354233094,0.013068066297403359,0.1672846965357895
XLE,10,252,entropy,0.0024860596301744513,0.8438245136358353,0.019568376178544785,0.12094695704948524,
XLE,10,252,max_abs,0.06115574533339681,2.15643917952803e-06,-0.014935401466476709,0.24762555382784526,-0.24421910623531506
XLE,20,60,slope,-0.055921268560541346,1.0487454774222657e-05,-0.006878552274981891,0.5880624000542497,0.12300422454714255
XLE,20,60,entropy,0.04741223477933652,0.00017044677949622187,0.039731928426168656,0.0016341994478034684,0.8380100328762579
XLE,20,60,max_abs,0.05112233971211721,6.081770975245863e-05,0.018648563243481783,0.1437931485361521,0.3647830546977417
XLE,20,252,slope,-0.08621906433831958,2.146420891154841e-11,0.013278187633113505,0.30333982956890504,-0.15400523927063878
XLE,20,252,entropy,0.09362930926359281,1.0391053901391627e-13,0.04317286868713317,0.0006198964167260443,0.4611042100672709
XLE,20,252,max_abs,0.11708188396519284,1.2623564548048568e-19,0.012701462890061911,0.3271324498844916,0.10848358823674137
XLE,80,60,slope,-0.09094914971684508,9.218223693512522e-13,0.008298730353691634,0.5154914502072526,-0.09124582670127582
XLE,80,60,entropy,0.10696332296786377,1.8873969534688798e-17,0.0022277201786239996,0.8598759251419679,0.020826953733414765
XLE,80,60,max_abs,0.07402585662074476,1.2298529863271242e-08,0.024174767767904184,0.06320859992427644,0.32657194217634394
XLE,80,252,slope,-0.13147255813144426,2.331407092659579e-24,-0.00487645650844935,0.7068378305076002,0.037091059744756336
XLE,80,252,entropy,0.019443177583786067,0.12334425870136481,0.029551913627938048,0.019165170279670577,1.519911727421643
XLE,80,252,max_abs,0.08285441052292732,3.553773386871241e-10,0.012307576998363913,0.3522811072942524,0.14854462086792813
XLY,10,60,slope,-0.10816718423076722,1.237352537128824e-17,-0.06096431840139121,1.5178476890235778e-06,0.5636119571285876
XLY,10,60,entropy,0.0477221021828312,0.00015444421636343357,0.0031777597818957557,0.801182674312074,0.06658884744266372
XLY,10,60,max_abs,0.041620381998692425,0.0010594389758492848,-0.03413607880253862,0.007251222346506829,-0.8201769701107275
XLY,10,252,slope,-0.21862439873548256,4.551073941315072e-66,-0.06146146195459708,1.8183523031500914e-06,0.2811281005692341
XLY,10,252,entropy,0.0039369447537294005,0.7550574794409372,0.004473018976246282,0.7229952688288711,
XLY,10,252,max_abs,0.1388870404013878,3.3345075727046675e-27,-0.039170839103176064,0.002419958410569242,-0.2820337951616734
XLY,20,60,slope,-0.05396454306327776,2.114516638561032e-05,0.027535360249647724,0.03011040425636747,-0.5102491133365162
XLY,20,60,entropy,0.09993335944742117,2.039360985325885e-15,-0.03763480425639667,0.002850998339195908,-0.3765990102253873
XLY,20,60,max_abs,0.01699605767465623,0.18277627102350683,-0.012052689922571776,0.34479675649785324,-0.709146212215096
XLY,20,252,slope,-0.1498379110798745,1.6014218707283215e-31,0.02985374322873533,0.020634050213277754,-0.19924025244065982
XLY,20,252,entropy,0.030825668475323916,0.014553304109651779,-0.007846926257221054,0.5340563699530636,-0.254558186256449
XLY,20,252,max_abs,0.16724038087889737,1.3314218398139883e-38,-0.004606899343532909,0.7222857658298175,-0.027546572898975108
XLY,80,60,slope,-0.09709145295810342,2.4170119600184713e-14,0.01099173660264093,0.38904351243455476,-0.11321013609080552
XLY,80,60,entropy,0.15939543820009996,5.0478900982720425e-37,-0.04160812217397918,0.0009717063156707771,-0.26103709518804213
XLY,80,60,max_abs,0.09102678312996351,2.4084041299939172e-12,0.026460089363545228,0.042012452754097374,0.29068465844571073
XLY,80,252,slope,-0.08323769056042156,1.2677097307631938e-10,0.008371413607175237,0.518493541420091,-0.10057239155498308
XLY,80,252,entropy,0.14808585527982215,3.9067225507677225e-32,0.03296248593136128,0.008981277523715763,0.22259037413853985
XLY,80,252,max_abs,0.14568122549805776,1.776098345654367e-28,-0.03940313415023336,0.002891646297666371,-0.2704750321499642
